,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
33531,North Korea,PRK,Women,1996,158.96699819999995,153.1196905,164.90816189999995
33632,Norway,NOR,Women,1996,165.5649024,163.7509424,167.3965727
33733,Occupied Palestinian Territory,PSE,Women,1996,158.7540457,156.96555080000005,160.53444950000005
33834,Oman,OMN,Women,1996,157.1877249,154.999215,159.281507
33935,Pakistan,PAK,Women,1996,153.84443249999995,152.8374672,154.8682006
34036,Palau,PLW,Women,1996,156.2202025,153.9546801,158.4606918
34137,Panama,PAN,Women,1996,155.4710802,152.7874319,158.09730090000005
34238,Papua New Guinea,PNG,Women,1996,154.8715667,152.9464324,156.7845638
34339,Paraguay,PRY,Women,1996,159.8557734,154.1781889,165.5429924
34440,Peru,PER,Women,1996,152.93252280000004,152.334436,153.55963290000003
34541,Philippines,PHL,Women,1996,149.6078284,147.86324119999998,151.4065753
34642,Poland,POL,Women,1996,164.58574,163.2734169,165.9198368
34743,Portugal,PRT,Women,1996,163.0445808,161.56789740000005,164.51358000000005
34844,Puerto Rico,PRI,Women,1996,159.2034604,156.6035999,161.77465790000005
34945,Qatar,QAT,Women,1996,159.38189269999995,157.89401769999995,160.87207890000005
35046,Romania,ROU,Women,1996,162.7251114,160.2156405,165.1636366
35147,Russian Federation,RUS,Women,1996,165.2704945,163.9726916,166.6286027
35248,Rwanda,RWA,Women,1996,154.7868845,153.72608459999995,155.8430847
35349,Saint Kitts and Nevis,KNA,Women,1996,159.1978809,155.524376,162.82350549999995
35450,Saint Lucia,LCA,Women,1996,162.3143903,159.0325227,165.4986571
35551,Saint Vincent and the Grenadines,VCT,Women,1996,160.6963389,155.2978946,166.0070097
35652,Samoa,WSM,Women,1996,161.96586440000004,160.54334440000005,163.4244904
35753,Sao Tome and Principe,STP,Women,1996,158.9062112,157.1709467,160.59571090000003
35854,Saudi Arabia,SAU,Women,1996,155.8807485,154.7993371,157.0060382
